// Compost colors for pamhc2foodcore. You may add your own colors, change existing ones, or remove colors that aren't needed.
appledonutitem, #ffee7f
potatosoupitem, #8a6520
potitem, #ff8c66
potroastitem, #875f20
powdereddonutitem, #ffffff
pumpkinbreaditem, #cf7d2a
pumpkincheesecakeitem, #ff9e2a
pumpkindonutitem, #ff9623
pumpkinmuffinitem, #ffa446
pumpkinsoupitem, #865712
pumpkinyogurtitem, #ffd089
rabbitjerkyitem, #ffdec3
rabbitnoodlesoupitem, #79541b
rabbitpotpieitem, #ffb85f
roastedsunflowerseedsitem, #ffbe4a
rolleritem, #9a732c
saltitem, #fffff8
saucepanitem, #e7825b
scrambledeggitem, #b99115
skilletitem, #da7246
smoresitem, #f4a254
softpretzelitem, #e7793e
sprinklesdonutitem, #82d4e3
stewitem, #935b1e
stockitem, #a2894d
sunflowerseedsitem, #735540
sweetberrydonutitem, #f5344e
sweetberryjellyitem, #d06568
sweetberryjellytoastitem, #914618
sweetberryjuiceitem, #d684a8
sweetberrymuffinitem, #ff9650
sweetberrypieitem, #ffa150
sweetberrypopsicleitem, #cc1914
sweetberrysmoothieitem, #d07c97
sweetberryyogurtitem, #fcaa8c
toastitem, #a07926
trailmixitem, #e47c44
vegetablenoodlesoupitem, #7f5218
veggiepotpieitem, #ffbe5a
vinegaritem, #e69d97
yogurtitem, #ffffd4
